health_area,district_name,data_element_name,year_month,monthly_value,previous_month_value,mom_percent_change
,Port Richardhaven District,,202504,,,
,Port Richardhaven District,,202505,,,
,Port Thomasborough District,,202406,,,
,Port Thomasborough District,,202407,,,
,Port Thomasborough District,,202408,,,
,Port Thomasborough District,,202409,,,
,Port Thomasborough District,,202410,,,
,Port Thomasborough District,,202411,,,
,Port Thomasborough District,,202412,,,
,Port Thomasborough District,,202501,,,
,Port Thomasborough District,,202502,,,
,Port Thomasborough District,,202503,,,
,Port Thomasborough District,,202504,,,
,Port Thomasborough District,,202505,,,
,Ronaldside District,,202406,,,
,Ronaldside District,,202407,,,
,Ronaldside District,,202408,,,
,Ronaldside District,,202409,,,
,Ronaldside District,,202410,,,
,Ronaldside District,,202411,,,
,Ronaldside District,,202412,,,
,Ronaldside District,,202501,,,
,Ronaldside District,,202502,,,
,Ronaldside District,,202503,,,
,Ronaldside District,,202504,,,
,Ronaldside District,,202505,,,
,Saramouth District,,202406,,,
,Saramouth District,,202407,,,
,Saramouth District,,202408,,,
,Saramouth District,,202409,,,
,Saramouth District,,202410,,,
,Saramouth District,,202411,,,
,Saramouth District,,202412,,,
,Saramouth District,,202501,,,
,Saramouth District,,202502,,,
,Saramouth District,,202503,,,
,Saramouth District,,202504,,,
,Saramouth District,,202505,,,
,South April District,,202406,,,
,South April District,,202407,,,
,South April District,,202408,,,
,South April District,,202409,,,
,South April District,,202410,,,
,South April District,,202411,,,
,South April District,,202412,,,
,South April District,,202501,,,
,South April District,,202502,,,
,South April District,,202503,,,
,South April District,,202504,,,
,South April District,,202505,,,
,South Christianport District,,202406,,,
,South Christianport District,,202407,,,
,South Christianport District,,202408,,,
,South Christianport District,,202409,,,
,South Christianport District,,202410,,,
,South Christianport District,,202411,,,
,South Christianport District,,202412,,,
,South Christianport District,,202501,,,
,South Christianport District,,202502,,,
,South Christianport District,,202503,,,
,South Christianport District,,202504,,,
,South Christianport District,,202505,,,
,South James District,,202406,,,
,South James District,,202407,,,
,South James District,,202408,,,
,South James District,,202409,,,
,South James District,,202410,,,
,South James District,,202411,,,
,South James District,,202412,,,
,South James District,,202501,,,
,South James District,,202502,,,
,South James District,,202503,,,
,South James District,,202504,,,
,South James District,,202505,,,
,South Matthewfurt District,,202406,,,
,South Matthewfurt District,,202407,,,
,South Matthewfurt District,,202408,,,
,South Matthewfurt District,,202409,,,
,South Matthewfurt District,,202410,,,
,South Matthewfurt District,,202411,,,
,South Matthewfurt District,,202412,,,
,South Matthewfurt District,,202501,,,
,South Matthewfurt District,,202502,,,
,South Matthewfurt District,,202503,,,
,South Matthewfurt District,,202504,,,
,South Matthewfurt District,,202505,,,
,Stephaniemouth District,,202406,,,
,Stephaniemouth District,,202407,,,
,Stephaniemouth District,,202408,,,
,Stephaniemouth District,,202409,,,
,Stephaniemouth District,,202410,,,
,Stephaniemouth District,,202411,,,
,Stephaniemouth District,,202412,,,
,Stephaniemouth District,,202501,,,
,Stephaniemouth District,,202502,,,
,Stephaniemouth District,,202503,,,
,Stephaniemouth District,,202504,,,
,Stephaniemouth District,,202505,,,
,Stephenland District,,202406,,,
,Stephenland District,,202407,,,
,Stephenland District,,202408,,,
,Stephenland District,,202409,,,
,Stephenland District,,202410,,,
,Stephenland District,,202411,,,
,Stephenland District,,202412,,,
,Stephenland District,,202501,,,
,Stephenland District,,202502,,,
,Stephenland District,,202503,,,
,Stephenland District,,202504,,,
,Stephenland District,,202505,,,
,Taylorburgh District,,202406,,,
,Taylorburgh District,,202407,,,
,Taylorburgh District,,202408,,,
,Taylorburgh District,,202409,,,
,Taylorburgh District,,202410,,,
,Taylorburgh District,,202411,,,
,Taylorburgh District,,202412,,,
,Taylorburgh District,,202501,,,
,Taylorburgh District,,202502,,,
,Taylorburgh District,,202503,,,
,Taylorburgh District,,202504,,,
,Taylorburgh District,,202505,,,
,Teresaburgh District,,202406,,,
,Teresaburgh District,,202407,,,
,Teresaburgh District,,202408,,,
,Teresaburgh District,,202409,,,
,Teresaburgh District,,202410,,,
,Teresaburgh District,,202411,,,
,Teresaburgh District,,202412,,,
,Teresaburgh District,,202501,,,
,Teresaburgh District,,202502,,,
,Teresaburgh District,,202503,,,
,Teresaburgh District,,202504,,,
,Teresaburgh District,,202505,,,
,Thomasberg District,,202406,,,
,Thomasberg District,,202407,,,
,Thomasberg District,,202408,,,
,Thomasberg District,,202409,,,
,Thomasberg District,,202410,,,
,Thomasberg District,,202411,,,
,Thomasberg District,,202412,,,
,Thomasberg District,,202501,,,
,Thomasberg District,,202502,,,
,Thomasberg District,,202503,,,
,Thomasberg District,,202504,,,
,Thomasberg District,,202505,,,
,West Alexis District,,202406,,,
,West Alexis District,,202407,,,
,West Alexis District,,202408,,,
,West Alexis District,,202409,,,
,West Alexis District,,202410,,,
,West Alexis District,,202411,,,
,West Alexis District,,202412,,,
,West Alexis District,,202501,,,
,West Alexis District,,202502,,,
,West Alexis District,,202503,,,
,West Alexis District,,202504,,,
,West Alexis District,,202505,,,
,West Andrea District,,202406,,,
,West Andrea District,,202407,,,
,West Andrea District,,202408,,,
,West Andrea District,,202409,,,
,West Andrea District,,202410,,,
,West Andrea District,,202411,,,
,West Andrea District,,202412,,,
,West Andrea District,,202501,,,
,West Andrea District,,202502,,,
,West Andrea District,,202503,,,
,West Andrea District,,202504,,,
,West Andrea District,,202505,,,
,West Elizabeth District,,202406,,,
,West Elizabeth District,,202407,,,
,West Elizabeth District,,202408,,,
,West Elizabeth District,,202409,,,
,West Elizabeth District,,202410,,,
,West Elizabeth District,,202411,,,
,West Elizabeth District,,202412,,,
,West Elizabeth District,,202501,,,
,West Elizabeth District,,202502,,,
,West Elizabeth District,,202503,,,
,West Elizabeth District,,202504,,,
,West Elizabeth District,,202505,,,
,West Jasmine District,,202406,,,
,West Jasmine District,,202407,,,
,West Jasmine District,,202408,,,
,West Jasmine District,,202409,,,
,West Jasmine District,,202410,,,
,West Jasmine District,,202411,,,
,West Jasmine District,,202412,,,
,West Jasmine District,,202501,,,
,West Jasmine District,,202502,,,
,West Jasmine District,,202503,,,
,West Jasmine District,,202504,,,
,West Jasmine District,,202505,,,
,West Jasonbury District,,202406,,,
,West Jasonbury District,,202407,,,
,West Jasonbury District,,202408,,,
,West Jasonbury District,,202409,,,
,West Jasonbury District,,202410,,,
,West Jasonbury District,,202411,,,
,West Jasonbury District,,202412,,,
,West Jasonbury District,,202501,,,
,West Jasonbury District,,202502,,,
,West Jasonbury District,,202503,,,
,West Jasonbury District,,202504,,,
,West Jasonbury District,,202505,,,
,West Robert District,,202406,,,
,West Robert District,,202407,,,
,West Robert District,,202408,,,
,West Robert District,,202409,,,
,West Robert District,,202410,,,
,West Robert District,,202411,,,
,West Robert District,,202412,,,
,West Robert District,,202501,,,
,West Robert District,,202502,,,
,West Robert District,,202503,,,
,West Robert District,,202504,,,
,West Robert District,,202505,,,
,West Ryan District,,202406,,,
,West Ryan District,,202407,,,
,West Ryan District,,202408,,,
,West Ryan District,,202409,,,
,West Ryan District,,202410,,,
,West Ryan District,,202411,,,
,West Ryan District,,202412,,,
,West Ryan District,,202501,,,
,West Ryan District,,202502,,,
,West Ryan District,,202503,,,
,West Ryan District,,202504,,,
,West Ryan District,,202505,,,
,West Zacharymouth District,,202406,,,
,West Zacharymouth District,,202407,,,
,West Zacharymouth District,,202408,,,
,West Zacharymouth District,,202409,,,
,West Zacharymouth District,,202410,,,
,West Zacharymouth District,,202411,,,
,West Zacharymouth District,,202412,,,
,West Zacharymouth District,,202501,,,
,West Zacharymouth District,,202502,,,
,West Zacharymouth District,,202503,,,
,West Zacharymouth District,,202504,,,
,West Zacharymouth District,,202505,,,
,Westtown District,,202406,,,
,Westtown District,,202407,,,
,Westtown District,,202408,,,
,Westtown District,,202409,,,
,Westtown District,,202410,,,
,Westtown District,,202411,,,
,Westtown District,,202412,,,
,Westtown District,,202501,,,
,Westtown District,,202502,,,
,Westtown District,,202503,,,
,Westtown District,,202504,,,
,Westtown District,,202505,,,
,Williamview District,,202406,,,
,Williamview District,,202407,,,
,Williamview District,,202408,,,
,Williamview District,,202409,,,
,Williamview District,,202410,,,
,Williamview District,,202411,,,
,Williamview District,,202412,,,
,Williamview District,,202501,,,
,Williamview District,,202502,,,
,Williamview District,,202503,,,
,Williamview District,,202504,,,
,Williamview District,,202505,,,
Child Health,,DPT3 immunisations,202406,2281.0,,
Child Health,,DPT3 immunisations,202407,2564.0,2281.0,12.406839105655413
Child Health,,DPT3 immunisations,202408,3338.0,2564.0,30.187207488299535
Child Health,,DPT3 immunisations,202409,2738.0,3338.0,-17.97483523067705
Child Health,,DPT3 immunisations,202410,1501.0,2738.0,-45.17896274653032
Child Health,,DPT3 immunisations,202411,2446.0,1501.0,62.958027981345765
Child Health,,DPT3 immunisations,202412,2366.0,2446.0,-3.2706459525756335
Child Health,,DPT3 immunisations,202501,1610.0,2366.0,-31.952662721893493
Child Health,,DPT3 immunisations,202502,1414.0,1610.0,-12.173913043478262
Child Health,,DPT3 immunisations,202503,1734.0,1414.0,22.63083451202263
Child Health,,DPT3 immunisations,202504,2823.0,1734.0,62.80276816608996
Child Health,,DPT3 immunisations,202505,1359.0,2823.0,-51.85972369819341
Child Health,,Full immunisation coverage,202406,184.0,,
Child Health,,Full immunisation coverage,202407,103.6,184.0,-43.69565217391305
Child Health,,Full immunisation coverage,202408,214.8,103.6,107.33590733590736
Child Health,,Full immunisation coverage,202409,169.1,214.8,-21.27560521415271
Child Health,,Full immunisation coverage,202410,134.4,169.1,-20.520402128917794
Child Health,,Full immunisation coverage,202411,357.6,134.4,166.07142857142858
Child Health,,Full immunisation coverage,202501,138.2,357.6,-61.353467561521256
Child Health,,Full immunisation coverage,202502,137.3,138.2,-0.6512301013024439
Child Health,,Full immunisation coverage,202503,173.7,137.3,26.511289147851404
Child Health,,Full immunisation coverage,202504,91.1,173.7,-47.55325273459988
Child Health,,Full immunisation coverage,202505,246.4,91.1,170.47200878155874
Child Health,,Measles immunisations,202406,2596.0,,
Child Health,,Measles immunisations,202407,1664.0,2596.0,-35.901386748844374
Child Health,,Measles immunisations,202408,1789.0,1664.0,7.512019230769231
Child Health,,Measles immunisations,202409,2611.0,1789.0,45.94745667970933
Child Health,,Measles immunisations,202410,1155.0,2611.0,-55.76407506702413
Child Health,,Measles immunisations,202411,2053.0,1155.0,77.74891774891775
Child Health,,Measles immunisations,202412,1680.0,2053.0,-18.168533852898197
Child Health,,Measles immunisations,202501,1302.0,1680.0,-22.5
Child Health,,Measles immunisations,202502,1100.0,1302.0,-15.514592933947775
Child Health,,Measles immunisations,202503,1622.0,1100.0,47.45454545454545
Child Health,,Measles immunisations,202504,1991.0,1622.0,22.749691738594326
Child Health,,Measles immunisations,202505,1318.0,1991.0,-33.80210949271722
Child Health,,ORS distributed,202406,618.0,,
Child Health,,ORS distributed,202407,2556.0,618.0,313.5922330097087
Child Health,,ORS distributed,202408,1006.0,2556.0,-60.641627543035995
Child Health,,ORS distributed,202409,1916.0,1006.0,90.4572564612326
Child Health,,ORS distributed,202410,1335.0,1916.0,-30.323590814196244
Child Health,,ORS distributed,202411,1219.0,1335.0,-8.689138576779026
Child Health,,ORS distributed,202412,1776.0,1219.0,45.69319114027891
Child Health,,ORS distributed,202501,2080.0,1776.0,17.117117117117118
Child Health,,ORS distributed,202502,1350.0,2080.0,-35.09615384615385
Child Health,,ORS distributed,202503,1989.0,1350.0,47.333333333333336
Child Health,,ORS distributed,202504,2226.0,1989.0,11.91553544494721
Child Health,,ORS distributed,202505,1832.0,2226.0,-17.69991015274034
Child Health,,Severe acute malnutrition cases,202406,99.0,,
Child Health,,Severe acute malnutrition cases,202407,103.0,99.0,4.040404040404041
Child Health,,Severe acute malnutrition cases,202408,465.0,103.0,351.45631067961165
