health_area,country_name,facility_name,org_unit_uid,zero_data_periods,rank
Child Health,Ethiopia,Miller Health Centre,rTDIqtifcMj,0,1
Child Health,Ethiopia,Molina Clinic,Z3YaLoqnChG,0,1
Child Health,Ethiopia,Morris Health Post,SxWf1xV8R5a,0,1
Child Health,Ethiopia,Morrison Hospital,wP6i9AbtCPJ,0,1
Child Health,Ethiopia,Nguyen Clinic,rikh3VgMOGL,0,1
Child Health,Ethiopia,Orozco Clinic,eFfCNSSVo0v,0,1
Child Health,Ethiopia,Ortega Dispensary,yLJbrORT9PJ,0,1
Child Health,Ethiopia,Osborne Health Post,sOAULkl2Gri,0,1
Child Health,Ethiopia,Patterson Dispensary,QAljf7kZWB4,0,1
Child Health,Ethiopia,Payne Hospital,OYK3KxBQ2os,0,1
Child Health,Ethiopia,Perry Health Post,FG6zwWGSR0t,0,1
Child Health,Ethiopia,Pittman Dispensary,q0lW97sfnVm,0,1
Child Health,Ethiopia,Ramos Health Centre,Rg2WjThJ5mk,0,1
Child Health,Ethiopia,Ramsey Hospital,A8W6O8LHY1e,0,1
Child Health,Ethiopia,Reeves Clinic,ygL8ia4LnXy,0,1
Child Health,Ethiopia,Rivas Clinic,vAtX99VvWp3,0,1
Child Health,Ethiopia,Robinson Health Post,dzvSOmEHCbl,0,1
Child Health,Ethiopia,Rogers Hospital,zYqycvfK3C4,0,1
Child Health,Ethiopia,Ross Clinic,be0iX3D2A7o,0,1
Child Health,Ethiopia,Ross Health Centre,uVRqUyCf9Zm,0,1
Child Health,Ethiopia,Rush Dispensary,K4XXjiWUTzG,0,1
Child Health,Ethiopia,Russell Hospital,BsvrGRcDOPI,0,1
Child Health,Ethiopia,Salazar Health Post,jpj5SGPqe07,0,1
Child Health,Ethiopia,Smith Clinic,hZ1TGy31GUy,0,1
Child Health,Ethiopia,Spencer Health Centre,yQTpvGGXyP2,0,1
Child Health,Ethiopia,Stafford Hospital,e7qFCD0U1xq,0,1
Child Health,Ethiopia,Stein Health Post,U8KS7xh2NAS,0,1
Child Health,Ethiopia,Sullivan Dispensary,TINiMJsViS7,0,1
Child Health,Ethiopia,Terry Health Centre,rUYFWeNQFSE,0,1
Child Health,Ethiopia,Torres Health Post,RoQMKXjxY3c,0,1
Child Health,Ethiopia,Vargas Health Centre,uSMttKkZ1b8,0,1
Child Health,Ethiopia,Wagner Hospital,lMmB6Uz8a7v,0,1
Child Health,Ethiopia,Walker Clinic,sTtLnIfTb90,0,1
Child Health,Ethiopia,Waller Dispensary,mZyvTHPBdac,0,1
Child Health,Ethiopia,Washington Hospital,cZHntvb6X2v,0,1
Child Health,Ethiopia,Watts Health Centre,hQaFeGvR2EN,0,1
Child Health,Ethiopia,White Health Centre,NTsdtYiXCi5,0,1
Child Health,Ethiopia,Williams Clinic,cCSWr5OBM2o,0,1
Child Health,Ethiopia,Wilson Dispensary,hq5qwMgqk55,0,1
Child Health,Ethiopia,Wilson Health Post,hLbwaBYOtAw,0,1
Child Health,Ethiopia,Young Health Centre,NDxPiH1Caod,0,1
Child Health,Ethiopia,Young Health Centre,wqbWL4DB0fw,0,1
Child Health,Ethiopia,Zavala Clinic,inKZmnYR3W7,0,1
Child Health,Kenya,Abbott Clinic,MZvkbje1qZI,0,1
Child Health,Kenya,Adams Health Centre,PYSOUW4ACNl,0,1
Child Health,Kenya,Allen Hospital,rOMSlNrWXM6,0,1
Child Health,Kenya,Anderson Dispensary,APLuyDcTgCO,0,1
Child Health,Kenya,Baker Health Post,OO1hYsT4Efw,0,1
Child Health,Kenya,Baker Health Post,YFBKlAnifKa,0,1
Child Health,Kenya,Bernard Dispensary,yKwzrnOYs1J,0,1
Child Health,Kenya,Blair Hospital,OYRUevOXK0q,0,1
Child Health,Kenya,Blair Hospital,ixUqiGktBIN,0,1
Child Health,Kenya,Bradley Clinic,pO5Z6bCn4St,0,1
Child Health,Kenya,Brennan Clinic,cvs25YGEtVf,0,1
Child Health,Kenya,Bright Health Post,IiSmL772EIs,0,1
Child Health,Kenya,Brown Health Centre,kBQzHGqrAbQ,0,1
Child Health,Kenya,Brown Hospital,GOLH9Tfy8zm,0,1
Child Health,Kenya,Brown Hospital,RReCTn9Y0fJ,0,1
Child Health,Kenya,Bush Clinic,X0yg55J8aMc,0,1
Child Health,Kenya,Calderon Health Centre,qvwpdGwvq5L,0,1
Child Health,Kenya,Cannon Health Centre,YBkMt6sIHpE,0,1
Child Health,Kenya,Carney Health Centre,iyG33aRsmIc,0,1
Child Health,Kenya,Chapman Dispensary,wHBVpVmwK2o,0,1
Child Health,Kenya,Chavez Dispensary,FlYaeFFsqeP,0,1
Child Health,Kenya,Clark Hospital,BGbF6Br9gEF,0,1
Child Health,Kenya,Collins Health Post,dpspZib17ou,0,1
Child Health,Kenya,Conner Clinic,fn61Oxm0WoK,0,1
Child Health,Kenya,Cox Health Centre,uILKnXQUD3y,0,1
Child Health,Kenya,Daniel Dispensary,kXe0V9P2h3j,0,1
Child Health,Kenya,Davis Clinic,POa9b9bGgfQ,0,1
Child Health,Kenya,Davis Hospital,XFa2VS8m4o8,0,1
Child Health,Kenya,Davis Hospital,utoUSXkEn3q,0,1
Child Health,Kenya,Ferrell Hospital,XHHjXuf9lbe,0,1
Child Health,Kenya,Galloway Health Centre,uo8Gie05Vhg,0,1
Child Health,Kenya,Garcia Health Centre,YM0w6Mh5XsH,0,1
Child Health,Kenya,Gardner Health Post,ZiYYTwD0jZ5,0,1
Child Health,Kenya,Garrett Health Post,iRKLntLsRce,0,1
Child Health,Kenya,Gentry Health Post,i9yvwNODe9n,0,1
Child Health,Kenya,Gonzalez Health Centre,AT6raSae91R,0,1
Child Health,Kenya,Gonzalez Health Post,Ki0J2UvHGSp,0,1
Child Health,Kenya,Graham Hospital,Q7pP8aWE7JZ,0,1
Child Health,Kenya,Gray Hospital,KpWWLVJxTZ0,0,1
Child Health,Kenya,Hall Health Centre,R6jSHe42JRy,0,1
Child Health,Kenya,Harris Health Post,z2lkXYHb6y6,0,1
Child Health,Kenya,Henderson Clinic,MHW6JBgW4R1,0,1
Child Health,Kenya,Henderson Clinic,hrFub0TGt0c,0,1
Child Health,Kenya,Henderson Hospital,LIvvdrPo9fK,0,1
Child Health,Kenya,Hensley Clinic,qnl8gX1bKJw,0,1
Child Health,Kenya,Hicks Hospital,QnScg1DMLRp,0,1
Child Health,Kenya,Hodges Dispensary,GHMMNFQGbc7,0,1
Child Health,Kenya,Hoffman Health Post,RCHcV7DHEfM,0,1
Child Health,Kenya,Hurst Clinic,Sy5tmxGPZns,0,1
Child Health,Kenya,Jackson Clinic,b1M9DMB3Z4F,0,1
Child Health,Kenya,James Hospital,hbNFUv0ATgg,0,1
Child Health,Kenya,Johnson Dispensary,FJKxzaLJ5FC,0,1
Child Health,Kenya,Johnson Hospital,MTs0xZzgVbV,0,1
Child Health,Kenya,Jones Dispensary,DLR2jGHjPhC,0,1
Child Health,Kenya,Jones Dispensary,wh9otFPFFK1,0,1
Child Health,Kenya,Jones Health Post,gpfRotZwjbo,0,1
Child Health,Kenya,Kim Health Post,FgKtbeK6FBf,0,1
Child Health,Kenya,Lawrence Hospital,rIkfQ90Kc9B,0,1
Child Health,Kenya,Le Clinic,F9v5cFXG5tc,0,1
Child Health,Kenya,Lewis Dispensary,a3ZYdv8Jhiq,0,1
Child Health,Kenya,Lewis Hospital,o1qsZ2vT5Xa,0,1
Child Health,Kenya,Liu Hospital,chOgvKOBfX6,0,1
Child Health,Kenya,Lynch Dispensary,rwlkoCvySo4,0,1
Child Health,Kenya,Maddox Dispensary,DmSQClFPxqF,0,1
Child Health,Kenya,Martin Health Post,NydZaQPlTkn,0,1
Child Health,Kenya,Mayo Dispensary,mlkmIzADT1G,0,1
Child Health,Kenya,Mcclain Health Centre,m020pMLlIGy,0,1
Child Health,Kenya,Mckay Clinic,xt2pDV55f3h,0,1
Child Health,Kenya,Miller Health Centre,t46xF9o6gou,0,1
Child Health,Kenya,Miller Health Post,T2NwAiAwcmH,0,1
Child Health,Kenya,Miller Health Post,eV3OyjQDjw7,0,1
Child Health,Kenya,Montgomery Clinic,Bi9BcnyduD6,0,1
Child Health,Kenya,Moore Hospital,KEBNYuYpy47,0,1
Child Health,Kenya,Morales Health Post,doGd11HsgMH,0,1
Child Health,Kenya,Munoz Dispensary,GmOU7hVfukk,0,1
Child Health,Kenya,Pacheco Health Centre,LKFS4uzlOyv,0,1
Child Health,Kenya,Perez Dispensary,DN8TL4A5whz,0,1
Child Health,Kenya,Peterson Clinic,N7KLUptMdtS,0,1
Child Health,Kenya,Porter Health Centre,BZTJfWcNz2t,0,1
Child Health,Kenya,Ramirez Hospital,OSBm5ZLfctj,0,1
Child Health,Kenya,Ray Dispensary,Cwt8vexGfsk,0,1
Child Health,Kenya,Reid Health Centre,Dw4qHOMXmFX,0,1
Child Health,Kenya,Rhodes Dispensary,a5bI9JKyhJ3,0,1
Child Health,Kenya,Rice Health Centre,CAa5TF988q2,0,1
Child Health,Kenya,Richards Dispensary,vrVjop46FjU,0,1
Child Health,Kenya,Robbins Health Post,lUT2snHGzWX,0,1
Child Health,Kenya,Roberts Clinic,IhxXMicKC7G,0,1
Child Health,Kenya,Robinson Clinic,aI9rr2dyCXh,0,1
Child Health,Kenya,Robinson Health Centre,c5KXbb0gjGL,0,1
Child Health,Kenya,Robinson Hospital,TvrDm8lDGdD,0,1
Child Health,Kenya,Rodriguez Clinic,xCq8y0Ac2lq,0,1
Child Health,Kenya,Rodriguez Dispensary,wjJahcsVk9q,0,1
Child Health,Kenya,Rodriguez Health Post,B1ccgIRnj1U,0,1
Child Health,Kenya,Rogers Health Centre,bAyM25r8Ne6,0,1
Child Health,Kenya,Roman Health Centre,GnDO6rpTaJU,0,1
Child Health,Kenya,Roman Hospital,yt5Rl7dKlPz,0,1
Child Health,Kenya,Romero Dispensary,u9umhmiJAEZ,0,1
Child Health,Kenya,Romero Health Post,VXvdSA9RH9X,0,1
Child Health,Kenya,Ross Hospital,vQUYuAuGhAl,0,1
Child Health,Kenya,Ryan Dispensary,q0Qy4yJplEI,0,1
Child Health,Kenya,Santos Dispensary,gl7fDZ7jkxI,0,1
Child Health,Kenya,Santos Dispensary,yWkmWlVE9c6,0,1
Child Health,Kenya,Skinner Hospital,pLN3M9Zeyxa,0,1
Child Health,Kenya,Smith Health Centre,MaC8zQGntGg,0,1
Child Health,Kenya,Smith Health Centre,d5Lqqc6gVou,0,1
Child Health,Kenya,Smith Hospital,MXl4kbcm2mQ,0,1
Child Health,Kenya,Spencer Health Post,Y5TdCpnZYGT,0,1
Child Health,Kenya,Tucker Clinic,B9INnUYQEmc,0,1
Child Health,Kenya,Valencia Hospital,Ch7oQUvisY4,0,1
Child Health,Kenya,Wagner Clinic,Ug9M8w7Kezi,0,1
Child Health,Kenya,Williams Health Post,t0JdqPjAWjE,0,1
Child Health,Kenya,Wong Clinic,RkUwWDXjyqp,0,1
Child Health,Kenya,Wright Dispensary,pvIrMBLjM5i,0,1
Child Health,Kenya,Zimmerman Health Post,lhriyuGHahk,0,1
Child Health,Kenya,Zuniga Hospital,BnLUvixmxMh,0,1
Child Health,Nigeria,Aguilar Health Post,DUJBjmActCD,0,1
Child Health,Nigeria,Allison Hospital,qBaKKtqVlcc,0,1
Child Health,Nigeria,Anderson Clinic,FTkuPZ2eyaY,0,1
Child Health,Nigeria,Anderson Clinic,lSL2kMZrUgS,0,1
Child Health,Nigeria,Anderson Health Centre,i5BkwursTgt,0,1
Child Health,Nigeria,Anderson Hospital,MmVRoweBqhI,0,1
Child Health,Nigeria,Bailey Health Post,LL3k7IzpU8Q,0,1
Child Health,Nigeria,Baker Clinic,KUkBKmhiWOr,0,1
Child Health,Nigeria,Baker Hospital,tx2UkExOdSU,0,1
Child Health,Nigeria,Baxter Dispensary,oGU1NPWqpEN,0,1
Child Health,Nigeria,Brady Hospital,mnovaawbtKb,0,1
Child Health,Nigeria,Brown Health Post,fKxXF9AQg5j,0,1
Child Health,Nigeria,Brown Hospital,KnOVypIJfJj,0,1
Child Health,Nigeria,Brown Hospital,ZedqZzNcTeS,0,1
Child Health,Nigeria,Brown Hospital,gOHOEWNzaqi,0,1
Child Health,Nigeria,Calhoun Health Post,yuzftpXdAWZ,0,1
Child Health,Nigeria,Callahan Hospital,DQkP1tlvrK1,0,1
Child Health,Nigeria,Campbell Health Centre,IwH3oOZA8BC,0,1
Child Health,Nigeria,Castro Health Centre,u462ueYxUhP,0,1
Child Health,Nigeria,Chandler Clinic,skR8X8KPj0U,0,1
Child Health,Nigeria,Clark Dispensary,ZUgaqbw9DbE,0,1
Child Health,Nigeria,Cooper Health Centre,qUKWF128hKh,0,1
Child Health,Nigeria,Cross Dispensary,o7FMprTBjZy,0,1
Child Health,Nigeria,Cunningham Health Post,cOiQE7OxfKB,0,1
Child Health,Nigeria,Daniels Hospital,TXoqWYraBMB,0,1
Child Health,Nigeria,Davenport Health Post,W4nKy761ktS,0,1
Child Health,Nigeria,David Dispensary,CylszG5HyOV,0,1
Child Health,Nigeria,Davis Clinic,j20o2E8Tcmz,0,1
Child Health,Nigeria,Dickson Health Centre,EDWXOOQJorT,0,1
Child Health,Nigeria,Duncan Health Post,zVBRGr2RV6p,0,1
Child Health,Nigeria,Edwards Clinic,yGqOovquwfS,0,1
Child Health,Nigeria,Estrada Dispensary,u3wLj5LVLwv,0,1
Child Health,Nigeria,Frost Health Centre,VVnOtXjptmu,0,1
Child Health,Nigeria,Galloway Health Post,zH5FMAFGSLF,0,1
Child Health,Nigeria,Garcia Health Centre,JBomPGNrG1t,0,1
Child Health,Nigeria,Garcia Health Centre,i6KnkASTmS3,0,1
Child Health,Nigeria,Gardner Hospital,JqHOfJTnIRc,0,1
Child Health,Nigeria,Gomez Dispensary,zdn9FM3SXSE,0,1
Child Health,Nigeria,Gomez Health Centre,Vl0y7iC3cqf,0,1
Child Health,Nigeria,Gray Dispensary,pv3THH2Bniu,0,1
Child Health,Nigeria,Green Dispensary,n9kl5IcAJpH,0,1
Child Health,Nigeria,Hart Dispensary,aGXcdxFDApd,0,1
Child Health,Nigeria,Haynes Hospital,YGBOIxKapPv,0,1
Child Health,Nigeria,Henderson Dispensary,W13nSgg8j1A,0,1
Child Health,Nigeria,Hensley Hospital,sSG4CS2Cr8o,0,1
Child Health,Nigeria,Hernandez Health Centre,loSF9H3IwSB,0,1
Child Health,Nigeria,Hill Clinic,V3FgNMr01uD,0,1
Child Health,Nigeria,Hopkins Health Centre,Ta4OuaLfLVq,0,1
Child Health,Nigeria,Horton Health Centre,aF9nB6VaFip,0,1
Child Health,Nigeria,House Dispensary,SEvqOgyvjvG,0,1
Child Health,Nigeria,Howell Dispensary,v9LjcGXDIXG,0,1
Child Health,Nigeria,Hudson Hospital,PKoFRcLEeqB,0,1
Child Health,Nigeria,Humphrey Hospital,khVqGpOdwHB,0,1
Child Health,Nigeria,Huynh Health Post,XGtREMTSpUH,0,1
Child Health,Nigeria,Jenkins Dispensary,g9bIaQ3NLZ8,0,1
Child Health,Nigeria,Jenkins Hospital,jb6rsQpxSKO,0,1
Child Health,Nigeria,Johnson Health Post,oxA9p8vrNRv,0,1
Child Health,Nigeria,Jones Clinic,avn6IurIapk,0,1
Child Health,Nigeria,Jones Health Post,wJdm0vAKdFv,0,1
Child Health,Nigeria,Jones Hospital,tTNRFoerGAF,0,1
Child Health,Nigeria,Jones Hospital,xFGSAqC0tb8,0,1
Child Health,Nigeria,Kennedy Clinic,HxDWxdxpxoj,0,1
Child Health,Nigeria,Kim Hospital,AYzymBkK9Hs,0,1
Child Health,Nigeria,Leblanc Health Post,CLm05zf03FJ,0,1
Child Health,Nigeria,Lee Dispensary,t7LMvxQcoLM,0,1
Child Health,Nigeria,Lee Health Centre,KseaD0udoEl,0,1
Child Health,Nigeria,Lewis Clinic,I84gUKhp5Hu,0,1
Child Health,Nigeria,Lewis Clinic,kMEsK9a71GL,0,1
Child Health,Nigeria,Logan Health Centre,DYenqXFHOrS,0,1
Child Health,Nigeria,Lucas Health Centre,TTwRacFM6Vp,0,1
Child Health,Nigeria,Marsh Health Post,SecWGtMomw3,0,1
Child Health,Nigeria,Martin Clinic,kds1FWEEL7B,0,1
Child Health,Nigeria,Martin Health Centre,ZNWs6m3bbeX,0,1
Child Health,Nigeria,Mathis Health Post,QkRwB00ltY4,0,1
Child Health,Nigeria,Mcbride Hospital,ksOvDkBogiG,0,1
Child Health,Nigeria,Mckee Clinic,u14g5mpGbwm,0,1
Child Health,Nigeria,Medina Clinic,gIvLI95OQ3l,0,1
Child Health,Nigeria,Mitchell Health Post,UX9yhEUWysB,0,1
Child Health,Nigeria,Mitchell Hospital,W13rKR7a8wh,0,1
Child Health,Nigeria,Moore Dispensary,cRZTAOzwun8,0,1
Child Health,Nigeria,Moore Health Post,Ah1zLOtTFws,0,1
Child Health,Nigeria,Morales Health Centre,DUEAYLQCrG7,0,1
Child Health,Nigeria,Moss Dispensary,O4F8ls5kOnu,0,1
Child Health,Nigeria,Mueller Health Post,jCtNQ4Wpm2E,0,1
Child Health,Nigeria,Newton Dispensary,qj2P4Ig4CQx,0,1
Child Health,Nigeria,Novak Hospital,Vd2YYzFwp2F,0,1
Child Health,Nigeria,Parker Clinic,bmwTeXth1fi,0,1
Child Health,Nigeria,Patton Hospital,yjgv4S0kzKA,0,1
Child Health,Nigeria,Perez Hospital,SyP6V9Kr9No,0,1
Child Health,Nigeria,Pierce Hospital,LALaO4GCs7c,0,1
Child Health,Nigeria,Pope Health Post,N4J5SUlJTV7,0,1
Child Health,Nigeria,Powell Dispensary,by2iHlAiTYV,0,1
Child Health,Nigeria,Preston Dispensary,EpxHlJiiorb,0,1
Child Health,Nigeria,Ramirez Hospital,yvMSTJHEoEa,0,1
Child Health,Nigeria,Ramos Dispensary,MYxjlgRFBPZ,0,1
Child Health,Nigeria,Reyes Health Post,IBqvUUmH9pQ,0,1
Child Health,Nigeria,Riley Health Centre,T21shAu7N6U,0,1
Child Health,Nigeria,Robinson Clinic,BdfjOuoPYB2,0,1
Child Health,Nigeria,Rodriguez Health Centre,f2IsvrXL2sD,0,1
Child Health,Nigeria,Romero Health Centre,TIndSAty9Ae,0,1
Child Health,Nigeria,Sanchez Dispensary,E7T3ArFY5QR,0,1
Child Health,Nigeria,Santiago Clinic,ILDO4yFlwVN,0,1
Child Health,Nigeria,Santiago Health Centre,vLUUv6fhb5l,0,1
Child Health,Nigeria,Schmidt Health Centre,QUg7OfEZr5z,0,1
Child Health,Nigeria,Shields Clinic,krHphMQT6hA,0,1
Child Health,Nigeria,Smith Clinic,cTK4EGttMZ3,0,1
Child Health,Nigeria,Smith Dispensary,CmhaaDAcvqJ,0,1
Child Health,Nigeria,Stanley Dispensary,CmVt2fFj3zP,0,1
Child Health,Nigeria,Stevens Health Post,pgs3q9C1OcF,0,1
Child Health,Nigeria,Stewart Health Post,qaopaPf0CSv,0,1
Child Health,Nigeria,Thompson Health Post,iN8Yn3AEIVh,0,1
Child Health,Nigeria,Torres Health Post,wGm9OuKyj22,0,1
Child Health,Nigeria,Tucker Hospital,Tw0LTscv5XW,0,1
Child Health,Nigeria,Tucker Hospital,xXIDzxIQAYZ,0,1
Child Health,Nigeria,Turner Clinic,t0o56gO6ue2,0,1
Child Health,Nigeria,Valdez Hospital,qW8h76idSeL,0,1
Child Health,Nigeria,Velasquez Hospital,yXB6idawlfo,0,1
Child Health,Nigeria,Wagner Clinic,ZILZ3r9G5hg,0,1
Child Health,Nigeria,Walls Hospital,cDZOin08UgM,0,1
Child Health,Nigeria,Walsh Dispensary,bOQicgziReW,0,1
Child Health,Nigeria,Ware Dispensary,u4hvNo24xUU,0,1
Child Health,Nigeria,Watts Health Centre,L7Q0o9IPVNt,0,1
Child Health,Nigeria,Whitehead Dispensary,iU1VGSybwRO,0,1
Child Health,Nigeria,Wise Health Post,fg9JBjrQY4z,0,1
